Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-13 15:35:04,2019-06-13 15:35:17,12.680s,FAILED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-13 15:35:05,2019-06-13 15:35:13,8.252s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-13 15:35:05,2019-06-13 15:35:05,0.019s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-13 15:35:05,2019-06-13 15:35:13,7.972s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-13 15:35:13,2019-06-13 15:35:13,0.199s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-13 15:35:13,2019-06-13 15:35:13,0.011s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/DatabaseConnection,Chrome 74.0.3729.169,,2019-06-13 15:35:13,2019-06-13 15:35:15,2.249s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-13 15:35:13,2019-06-13 15:35:13,0.011s,PASSED
"url = ""apiserver.cw1p29kfimzt.ap-south-1.rds.amazonaws.com""",Chrome 74.0.3729.169,,2019-06-13 15:35:14,2019-06-13 15:35:14,0.001s,PASSED
"dbname = ""apiserver""",Chrome 74.0.3729.169,,2019-06-13 15:35:14,2019-06-13 15:35:14,0.001s,PASSED
"port = ""5432""",Chrome 74.0.3729.169,,2019-06-13 15:35:14,2019-06-13 15:35:14,0.001s,PASSED
"userName = ""apiserver""",Chrome 74.0.3729.169,,2019-06-13 15:35:14,2019-06-13 15:35:14,0.013s,PASSED
"passWord = ""api-server-db-pwd""",Chrome 74.0.3729.169,,2019-06-13 15:35:14,2019-06-13 15:35:14,0.002s,PASSED
"queryString = ""select id,bill_to,invoice_sent_at,payment_due_date,total_cost from invoice where invoice_nbr='INV_NBR_2'""",Chrome 74.0.3729.169,,2019-06-13 15:35:14,2019-06-13 15:35:14,0.002s,PASSED
"com.database.DemoSQLPro.connectDB(url, dbname, port, userName, passWord)",Chrome 74.0.3729.169,,2019-06-13 15:35:14,2019-06-13 15:35:15,1.258s,PASSED
result = com.database.DemoSQLPro.executeQuery(queryString),Chrome 74.0.3729.169,,2019-06-13 15:35:15,2019-06-13 15:35:15,0.424s,PASSED
println(result),Chrome 74.0.3729.169,,2019-06-13 15:35:15,2019-06-13 15:35:15,0.002s,PASSED
result.next(),Chrome 74.0.3729.169,,2019-06-13 15:35:15,2019-06-13 15:35:15,0.010s,PASSED
valueFromDatabase = result.getString(1),Chrome 74.0.3729.169,,2019-06-13 15:35:15,2019-06-13 15:35:15,0.001s,PASSED
println(valueFromDatabase),Chrome 74.0.3729.169,,2019-06-13 15:35:15,2019-06-13 15:35:15,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-13 15:35:15,2019-06-13 15:35:15,0.004s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-13 15:35:15,2019-06-13 15:35:17,1.493s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-13 15:35:15,2019-06-13 15:35:15,0.004s,PASSED
"mouseOver(findTestObject(""Lemoney/Setup/Logout/img_profileImage""))",Chrome 74.0.3729.169,,2019-06-13 15:35:16,2019-06-13 15:35:16,0.103s,PASSED
"click(findTestObject(""Lemoney/Setup/Logout/Logout""))",Chrome 74.0.3729.169,,2019-06-13 15:35:16,2019-06-13 15:35:17,1.031s,FAILED
closeBrowser(),Chrome 74.0.3729.169,,2019-06-13 15:35:17,2019-06-13 15:35:17,0.161s,FAILED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-13 15:35:17,2019-06-13 15:35:17,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-13 15:35:17,2019-06-13 15:35:17,0.005s,PASSED
