Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-11 16:12:56,2019-06-11 16:13:08,11.774s,ERROR
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-11 16:12:57,2019-06-11 16:13:06,9.351s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-11 16:12:57,2019-06-11 16:12:57,0.014s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-11 16:12:57,2019-06-11 16:13:06,9.033s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-11 16:13:06,2019-06-11 16:13:06,0.153s,PASSED
"verifyElementPresent(findTestObject(""Lemoney/Setup/InvoiceHeading/InvoicesHeading""), 10)",Chrome 74.0.3729.169,,2019-06-11 16:13:06,2019-06-11 16:13:06,0.089s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-11 16:13:06,2019-06-11 16:13:06,0.007s,PASSED
,,,,,,
Test Cases/Lemoney/Invoices/Receivables,Chrome 74.0.3729.169,,2019-06-11 16:13:06,2019-06-11 16:13:08,1.251s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-11 16:13:06,2019-06-11 16:13:06,0.004s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Invoices"")).equalsIgnoreCase(""Invoice Date"")",Chrome 74.0.3729.169,,2019-06-11 16:13:07,2019-06-11 16:13:07,0.096s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Particulars"")).equalsIgnoreCase(""Particulars"")",Chrome 74.0.3729.169,,2019-06-11 16:13:07,2019-06-11 16:13:07,0.073s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_DueDate"")).equalsIgnoreCase(""Due Date"")",Chrome 74.0.3729.169,,2019-06-11 16:13:07,2019-06-11 16:13:07,0.049s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Status"")).equalsIgnoreCase(""Status"")",Chrome 74.0.3729.169,,2019-06-11 16:13:07,2019-06-11 16:13:07,0.050s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_AmountDue"")).equalsIgnoreCase(""Amount Due"")",Chrome 74.0.3729.169,,2019-06-11 16:13:07,2019-06-11 16:13:08,0.074s,PASSED
"ele = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableRows_InvoiceDate"")).get(1)",Chrome 74.0.3729.169,,2019-06-11 16:13:08,2019-06-11 16:13:08,0.033s,ERROR
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-11 16:13:08,2019-06-11 16:13:08,0.003s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-11 16:13:08,2019-06-11 16:13:08,0.420s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-11 16:13:08,2019-06-11 16:13:08,0.010s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-11 16:13:08,2019-06-11 16:13:08,0.196s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-11 16:13:08,2019-06-11 16:13:08,0.002s,PASSED
