Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-13 13:48:32,2019-06-13 13:48:43,10.577s,ERROR
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-13 13:48:33,2019-06-13 13:48:40,6.909s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-13 13:48:33,2019-06-13 13:48:33,0.014s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-13 13:48:33,2019-06-13 13:48:40,6.658s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:40,0.166s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:40,0.012s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/DatabaseConnection,Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:41,1.663s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:40,0.005s,PASSED
"url = ""apiserver.cw1p29kfimzt.ap-south-1.rds.amazonaws.com""",Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:40,0.002s,PASSED
"dbname = ""apiserver""",Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:40,0.001s,PASSED
"port = ""5432""",Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:40,0.003s,PASSED
"userName = ""apiserver""",Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:40,0.021s,PASSED
"passWord = ""api-server-db-pwd""",Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:40,0.002s,PASSED
"queryString = ""select id,bill_to,invoice_sent_at,payment_due_date,total_cost from invoice where invoice_nbr='INV_NBR_2'""",Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:40,0.001s,PASSED
"com.database.DemoSQLPro.connectDB(url, dbname, port, userName, passWord)",Chrome 74.0.3729.169,,2019-06-13 13:48:40,2019-06-13 13:48:41,0.991s,PASSED
com.database.DemoSQLPro.executeQuery(queryString),Chrome 74.0.3729.169,,2019-06-13 13:48:41,2019-06-13 13:48:41,0.090s,ERROR
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-13 13:48:41,2019-06-13 13:48:41,0.003s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-13 13:48:41,2019-06-13 13:48:43,1.377s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-13 13:48:41,2019-06-13 13:48:41,0.005s,PASSED
"mouseOver(findTestObject(""Lemoney/Setup/Logout/img_profileImage""))",Chrome 74.0.3729.169,,2019-06-13 13:48:42,2019-06-13 13:48:42,0.116s,PASSED
"click(findTestObject(""Lemoney/Setup/Logout/Logout""))",Chrome 74.0.3729.169,,2019-06-13 13:48:42,2019-06-13 13:48:43,0.652s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-06-13 13:48:43,2019-06-13 13:48:43,0.164s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-13 13:48:43,2019-06-13 13:48:43,0.007s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-13 13:48:43,2019-06-13 13:48:43,0.008s,PASSED
