Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-14 11:43:56,2019-06-14 11:44:17,21.176s,ERROR
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-14 11:43:57,2019-06-14 11:44:04,7.350s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:43:57,2019-06-14 11:43:57,0.014s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-14 11:43:57,2019-06-14 11:44:04,7.121s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-14 11:44:04,2019-06-14 11:44:04,0.159s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:44:04,2019-06-14 11:44:04,0.014s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/DatabaseConnection,Chrome 74.0.3729.169,,2019-06-14 11:44:04,2019-06-14 11:44:05,1.155s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:44:04,2019-06-14 11:44:04,0.013s,PASSED
"url = ""apiserver.cw1p29kfimzt.ap-south-1.rds.amazonaws.com""",Chrome 74.0.3729.169,,2019-06-14 11:44:05,2019-06-14 11:44:05,0.001s,PASSED
"dbname = ""apiserver""",Chrome 74.0.3729.169,,2019-06-14 11:44:05,2019-06-14 11:44:05,0.001s,PASSED
"port = ""5432""",Chrome 74.0.3729.169,,2019-06-14 11:44:05,2019-06-14 11:44:05,0.004s,PASSED
"userName = ""apiserver""",Chrome 74.0.3729.169,,2019-06-14 11:44:05,2019-06-14 11:44:05,0.001s,PASSED
"passWord = ""api-server-db-pwd""",Chrome 74.0.3729.169,,2019-06-14 11:44:05,2019-06-14 11:44:05,0.002s,PASSED
"com.database.DemoSQLPro.connectDB(url, dbname, port, userName, passWord)",Chrome 74.0.3729.169,,2019-06-14 11:44:05,2019-06-14 11:44:05,0.640s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:44:05,2019-06-14 11:44:05,0.007s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/Table_invoiceListing,Chrome 74.0.3729.169,,2019-06-14 11:44:05,2019-06-14 11:44:16,10.858s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:44:05,2019-06-14 11:44:05,0.004s,PASSED
"Invoice_nbr = ""INV_NBR_2""",Chrome 74.0.3729.169,,2019-06-14 11:44:06,2019-06-14 11:44:06,0.001s,PASSED
"queryString = select invoice_nbr,id,bill_to,invoice_sent_at,payment_due_date,total_cost from invoice where invoice_nbr='$Invoice_nbr'",Chrome 74.0.3729.169,,2019-06-14 11:44:06,2019-06-14 11:44:06,0.013s,PASSED
result = com.database.DemoSQLPro.executeQuery(queryString),Chrome 74.0.3729.169,,2019-06-14 11:44:06,2019-06-14 11:44:06,0.085s,PASSED
while (result.next()),Chrome 74.0.3729.169,,2019-06-14 11:44:06,2019-06-14 11:44:06,0.033s,PASSED
"RowDataPrecedingInvoice_nbr = findWebElements(findTestObject(""Lemoney/Invoices/Receivables/DataBaseObjects/xPath_PrecedingInvoiceNumber"", [""Invoice_nbr"":""INV_NBR_2""]), 10)",Chrome 74.0.3729.169,,2019-06-14 11:44:06,2019-06-14 11:44:16,10.343s,PASSED
"println(""RowDataPrecedingInvoice_nbr.get(1).getText() : "" + get(1).getText())",Chrome 74.0.3729.169,,2019-06-14 11:44:16,2019-06-14 11:44:16,0.016s,ERROR
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:44:16,2019-06-14 11:44:16,0.002s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/CloseDBConnection,Chrome 74.0.3729.169,,2019-06-14 11:44:16,2019-06-14 11:44:16,0.163s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:44:16,2019-06-14 11:44:16,0.004s,PASSED
com.database.DemoSQLPro.closeDatabaseConnection(),Chrome 74.0.3729.169,,2019-06-14 11:44:16,2019-06-14 11:44:16,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:44:16,2019-06-14 11:44:16,0.005s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-14 11:44:16,2019-06-14 11:44:17,1.039s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:44:16,2019-06-14 11:44:16,0.005s,PASSED
"mouseOver(findTestObject(""Lemoney/Setup/Logout/img_profileImage""))",Chrome 74.0.3729.169,,2019-06-14 11:44:16,2019-06-14 11:44:17,0.094s,PASSED
"click(findTestObject(""Lemoney/Setup/Logout/Logout""))",Chrome 74.0.3729.169,,2019-06-14 11:44:17,2019-06-14 11:44:17,0.632s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-06-14 11:44:17,2019-06-14 11:44:17,0.146s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-14 11:44:17,2019-06-14 11:44:17,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:44:17,2019-06-14 11:44:17,0.003s,PASSED
