Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-17 16:05:09,2019-06-17 16:05:19,10.325s,ERROR
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-17 16:05:10,2019-06-17 16:05:18,7.922s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-17 16:05:10,2019-06-17 16:05:10,0.014s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-17 16:05:10,2019-06-17 16:05:17,7.397s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-17 16:05:17,2019-06-17 16:05:18,0.461s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-17 16:05:18,2019-06-17 16:05:18,0.006s,PASSED
,,,,,,
Test Cases/Lemoney/Invoices/Receivables,Chrome 74.0.3729.169,,2019-06-17 16:05:18,2019-06-17 16:05:18,0.591s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-17 16:05:18,2019-06-17 16:05:18,0.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-17 16:05:18,2019-06-17 16:05:18,0.003s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-17 16:05:18,2019-06-17 16:05:19,1.146s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-17 16:05:18,2019-06-17 16:05:18,0.006s,PASSED
"mouseOver(findTestObject(""Lemoney/Setup/Logout/img_profileImage""))",Chrome 74.0.3729.169,,2019-06-17 16:05:18,2019-06-17 16:05:18,0.080s,PASSED
"click(findTestObject(""Lemoney/Setup/Logout/Logout""))",Chrome 74.0.3729.169,,2019-06-17 16:05:18,2019-06-17 16:05:19,0.680s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-06-17 16:05:19,2019-06-17 16:05:19,0.205s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-17 16:05:19,2019-06-17 16:05:19,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-17 16:05:19,2019-06-17 16:05:19,0.007s,PASSED
