Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-12 14:10:13,2019-06-12 14:10:25,11.622s,ERROR
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-12 14:10:14,2019-06-12 14:10:22,8.224s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-12 14:10:14,2019-06-12 14:10:14,0.013s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-12 14:10:14,2019-06-12 14:10:22,7.979s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-12 14:10:22,2019-06-12 14:10:22,0.179s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-12 14:10:22,2019-06-12 14:10:22,0.010s,PASSED
,,,,,,
Test Cases/Lemoney/Invoices/Receivables,Chrome 74.0.3729.169,,2019-06-12 14:10:22,2019-06-12 14:10:24,1.600s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-12 14:10:22,2019-06-12 14:10:22,0.007s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Invoices"")).equalsIgnoreCase(""Invoice Date"")",Chrome 74.0.3729.169,,2019-06-12 14:10:23,2019-06-12 14:10:23,0.088s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Particulars"")).equalsIgnoreCase(""Particulars"")",Chrome 74.0.3729.169,,2019-06-12 14:10:23,2019-06-12 14:10:23,0.065s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_DueDate"")).equalsIgnoreCase(""Due Date"")",Chrome 74.0.3729.169,,2019-06-12 14:10:23,2019-06-12 14:10:23,0.047s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Status"")).equalsIgnoreCase(""Status"")",Chrome 74.0.3729.169,,2019-06-12 14:10:23,2019-06-12 14:10:23,0.060s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_AmountDue"")).equalsIgnoreCase(""Amount Due"")",Chrome 74.0.3729.169,,2019-06-12 14:10:23,2019-06-12 14:10:23,0.070s,PASSED
"listInvoiceDate = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableRows_InvoiceDate""), 10)",Chrome 74.0.3729.169,,2019-06-12 14:10:23,2019-06-12 14:10:23,0.070s,PASSED
"for ([i = 0, i < listInvoiceDate.size(), (i++)])",Chrome 74.0.3729.169,,2019-06-12 14:10:23,2019-06-12 14:10:23,0.261s,PASSED
"listParticularsCompanyName = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableRows_ParticularsCompanyName""), 10)",Chrome 74.0.3729.169,,2019-06-12 14:10:23,2019-06-12 14:10:23,0.033s,PASSED
"for ([i = 0, i < listParticularsCompanyName.size(), (i++)])",Chrome 74.0.3729.169,,2019-06-12 14:10:23,2019-06-12 14:10:24,0.210s,PASSED
"listParticularsInvoiceID = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableRows_ParticularsInvoiceID""), 10)",Chrome 74.0.3729.169,,2019-06-12 14:10:24,2019-06-12 14:10:24,0.011s,ERROR
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-12 14:10:24,2019-06-12 14:10:24,0.006s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-12 14:10:24,2019-06-12 14:10:25,1.132s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-12 14:10:24,2019-06-12 14:10:24,0.004s,PASSED
"mouseOver(findTestObject(""Lemoney/Setup/Logout/img_profileImage""))",Chrome 74.0.3729.169,,2019-06-12 14:10:24,2019-06-12 14:10:24,0.118s,PASSED
"click(findTestObject(""Lemoney/Setup/Logout/Logout""))",Chrome 74.0.3729.169,,2019-06-12 14:10:24,2019-06-12 14:10:25,0.662s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-06-12 14:10:25,2019-06-12 14:10:25,0.141s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-12 14:10:25,2019-06-12 14:10:25,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-12 14:10:25,2019-06-12 14:10:25,0.003s,PASSED
