Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-12 12:24:33,2019-06-12 12:25:00,27.563s,FAILED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-12 12:24:33,2019-06-12 12:24:58,24.999s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-12 12:24:33,2019-06-12 12:24:33,0.024s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-12 12:24:33,2019-06-12 12:24:47,13.920s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-12 12:24:47,2019-06-12 12:24:47,0.173s,PASSED
"verifyElementPresent(findTestObject(""Lemoney/Setup/InvoiceHeading/InvoicesHeading""), 10)",Chrome 74.0.3729.169,,2019-06-12 12:24:47,2019-06-12 12:24:58,10.809s,FAILED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-12 12:24:58,2019-06-12 12:24:58,0.015s,PASSED
,,,,,,
Test Cases/Lemoney/Invoices/Receivables,Chrome 74.0.3729.169,,2019-06-12 12:24:58,2019-06-12 12:24:59,0.777s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-12 12:24:58,2019-06-12 12:24:58,0.007s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Invoices"")).equalsIgnoreCase(""Invoice Date"")",Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.086s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Particulars"")).equalsIgnoreCase(""Particulars"")",Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.066s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_DueDate"")).equalsIgnoreCase(""Due Date"")",Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.036s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Status"")).equalsIgnoreCase(""Status"")",Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.034s,PASSED
"getText(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_AmountDue"")).equalsIgnoreCase(""Amount Due"")",Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.043s,PASSED
"listInvoiceDate = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableRows_InvoiceDate""), 10)",Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.040s,PASSED
println(get(0).getText()),Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.044s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.004s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:25:00,1.174s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.004s,PASSED
"mouseOver(findTestObject(""Lemoney/Setup/Logout/img_profileImage""))",Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:24:59,0.099s,PASSED
"click(findTestObject(""Lemoney/Setup/Logout/Logout""))",Chrome 74.0.3729.169,,2019-06-12 12:24:59,2019-06-12 12:25:00,0.652s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-06-12 12:25:00,2019-06-12 12:25:00,0.184s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-12 12:25:00,2019-06-12 12:25:00,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-12 12:25:00,2019-06-12 12:25:00,0.003s,PASSED
