Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-10 11:20:43,2019-06-10 11:21:03,19.639s,ERROR
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-10 11:20:44,2019-06-10 11:21:01,16.294s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-10 11:20:44,2019-06-10 11:20:44,0.015s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-10 11:20:44,2019-06-10 11:21:00,15.807s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-10 11:21:00,2019-06-10 11:21:01,0.324s,PASSED
"verifyElementPresent(findTestObject(""Lemoney/Setup/InvoiceHeading/InvoicesHeading""), 10)",Chrome 74.0.3729.169,,2019-06-10 11:21:01,2019-06-10 11:21:01,0.086s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-10 11:21:01,2019-06-10 11:21:01,0.009s,PASSED
,,,,,,
Test Cases/Lemoney/Invoices/InvoiceHeader,Chrome 74.0.3729.169,,2019-06-10 11:21:01,2019-06-10 11:21:02,1.496s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-10 11:21:01,2019-06-10 11:21:01,0.007s,PASSED
"verifyElementPresent(findTestObject(""Lemoney/Invoices/Header/TriggerMenuFold""), 10)",Chrome 74.0.3729.169,,2019-06-10 11:21:01,2019-06-10 11:21:01,0.046s,PASSED
"click(findTestObject(""Lemoney/Invoices/Header/TriggerMenuFold""))",Chrome 74.0.3729.169,,2019-06-10 11:21:01,2019-06-10 11:21:01,0.211s,PASSED
"verifyElementPresent(findTestObject(""Lemoney/Invoices/Header/TriggerMenuUnfold""), 10)",Chrome 74.0.3729.169,,2019-06-10 11:21:01,2019-06-10 11:21:02,0.086s,PASSED
"click(findTestObject(""Lemoney/Invoices/Header/TriggerMenuUnfold""))",Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.323s,PASSED
"verifyElementPresent(findTestObject(""Lemoney/Invoices/Header/icon_searchIcon""), 10)",Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.065s,PASSED
"verifyElementPresent(findTestObject(""Lemoney/Invoices/Header/icon_BellIcon""), 10)",Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.102s,PASSED
"verifyElementPresent(findTestObject(""Lemoney/Invoices/Header/icon_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.088s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Lemoney/Invoices/InvoicesHeading""), 10)",Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.037s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.003s,PASSED
,,,,,,
Test Cases/Lemoney/Invoices/Receivables,Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.288s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tab_Receivables""), 10)",Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.030s,PASSED
"var(abc = findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tab_Receivables_Amount""))",Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.040s,ERROR
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:02,0.004s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-10 11:21:02,2019-06-10 11:21:03,0.480s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-10 11:21:03,2019-06-10 11:21:03,0.009s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-10 11:21:03,2019-06-10 11:21:03,0.163s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-10 11:21:03,2019-06-10 11:21:03,0.006s,PASSED
