Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-14 11:33:31,2019-06-14 11:33:52,21.162s,ERROR
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-14 11:33:31,2019-06-14 11:33:39,7.200s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:32,2019-06-14 11:33:32,0.031s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-14 11:33:32,2019-06-14 11:33:38,6.881s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-14 11:33:38,2019-06-14 11:33:39,0.233s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:39,2019-06-14 11:33:39,0.007s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/DatabaseConnection,Chrome 74.0.3729.169,,2019-06-14 11:33:39,2019-06-14 11:33:40,1.166s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:39,2019-06-14 11:33:39,0.003s,PASSED
"url = ""apiserver.cw1p29kfimzt.ap-south-1.rds.amazonaws.com""",Chrome 74.0.3729.169,,2019-06-14 11:33:39,2019-06-14 11:33:39,0.002s,PASSED
"dbname = ""apiserver""",Chrome 74.0.3729.169,,2019-06-14 11:33:39,2019-06-14 11:33:39,0.001s,PASSED
"port = ""5432""",Chrome 74.0.3729.169,,2019-06-14 11:33:39,2019-06-14 11:33:39,0.001s,PASSED
"userName = ""apiserver""",Chrome 74.0.3729.169,,2019-06-14 11:33:39,2019-06-14 11:33:39,0.001s,PASSED
"passWord = ""api-server-db-pwd""",Chrome 74.0.3729.169,,2019-06-14 11:33:39,2019-06-14 11:33:39,0.001s,PASSED
"com.database.DemoSQLPro.connectDB(url, dbname, port, userName, passWord)",Chrome 74.0.3729.169,,2019-06-14 11:33:39,2019-06-14 11:33:40,0.643s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:40,2019-06-14 11:33:40,0.003s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/Table_invoiceListing,Chrome 74.0.3729.169,,2019-06-14 11:33:40,2019-06-14 11:33:51,10.852s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:40,2019-06-14 11:33:40,0.003s,PASSED
"Invoice_nbr = ""INV_NBR_2""",Chrome 74.0.3729.169,,2019-06-14 11:33:40,2019-06-14 11:33:40,0.003s,PASSED
"queryString = select invoice_nbr,id,bill_to,invoice_sent_at,payment_due_date,total_cost from invoice where invoice_nbr='$Invoice_nbr'",Chrome 74.0.3729.169,,2019-06-14 11:33:40,2019-06-14 11:33:40,0.012s,PASSED
result = com.database.DemoSQLPro.executeQuery(queryString),Chrome 74.0.3729.169,,2019-06-14 11:33:40,2019-06-14 11:33:40,0.085s,PASSED
while (result.next()),Chrome 74.0.3729.169,,2019-06-14 11:33:40,2019-06-14 11:33:40,0.044s,PASSED
"RowDataPrecedingInvoice_nbr = findWebElements(findTestObject(""Lemoney/Invoices/Receivables/DataBaseObjects/xPath_PrecedingInvoiceNumber"", [""Invoice_nbr"":""INV_NBR_2""]), 10)",Chrome 74.0.3729.169,,2019-06-14 11:33:40,2019-06-14 11:33:51,10.341s,PASSED
"println(""RowDataPrecedingInvoice_nbr.get(1).getText() : "" + get(1).getText())",Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:51,0.023s,ERROR
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:51,0.002s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/CloseDBConnection,Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:51,0.186s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:51,0.004s,PASSED
com.database.DemoSQLPro.closeDatabaseConnection(),Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:51,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:51,0.004s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:52,1.126s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:51,0.005s,PASSED
"mouseOver(findTestObject(""Lemoney/Setup/Logout/img_profileImage""))",Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:51,0.102s,PASSED
"click(findTestObject(""Lemoney/Setup/Logout/Logout""))",Chrome 74.0.3729.169,,2019-06-14 11:33:51,2019-06-14 11:33:52,0.649s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-06-14 11:33:52,2019-06-14 11:33:52,0.190s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-14 11:33:52,2019-06-14 11:33:52,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 11:33:52,2019-06-14 11:33:52,0.002s,PASSED
