Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-17 14:04:37,2019-06-17 14:04:51,13.796s,ERROR
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-17 14:04:37,2019-06-17 14:04:48,10.332s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-17 14:04:37,2019-06-17 14:04:37,0.011s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-17 14:04:37,2019-06-17 14:04:47,9.855s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-17 14:04:47,2019-06-17 14:04:48,0.412s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:48,0.008s,PASSED
,,,,,,
Test Cases/Lemoney/Invoices/Receivables,Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:49,1.577s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:48,0.005s,PASSED
"listInvoiceHeaders = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableHeaders_Invoices""), 10)",Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:48,0.046s,PASSED
"if (getText().equalsIgnoreCase(""Invoice Date""))",Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:48,0.048s,PASSED
"if (getText().equalsIgnoreCase(""Particulars""))",Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:48,0.030s,PASSED
"if (getText().equalsIgnoreCase(""Due Date""))",Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:48,0.036s,PASSED
"if (getText().equalsIgnoreCase(""Status""))",Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:48,0.026s,PASSED
"if (getText().equalsIgnoreCase(""Amount Due""))",Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:48,0.023s,PASSED
"listInvoiceDate = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableRows_InvoiceDate""), 10)",Chrome 74.0.3729.169,,2019-06-17 14:04:48,2019-06-17 14:04:49,0.024s,PASSED
"for ([i = 0, i < listInvoiceDate.size(), (i++)])",Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.175s,PASSED
"listParticularsCompanyName = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableRows_ParticularsCompanyName""), 10)",Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.026s,PASSED
if (listInvoiceDate.size() != listParticularsCompanyName.size()),Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.001s,PASSED
"for ([i = 0, i < listParticularsCompanyName.size(), (i++)])",Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.181s,PASSED
"listParticularsInvoiceID = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableRows_ParticularInvoiceId""), 10)",Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.023s,PASSED
if (listInvoiceDate.size() != listParticularsInvoiceID.size()),Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.001s,PASSED
"for ([i = 0, i < listParticularsInvoiceID.size(), (i++)])",Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.213s,PASSED
"listDueDate = findWebElements(findTestObject(""Object Repository/Lemoney/Invoices/Receivables/tableRows_DueDate""), 10)",Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.027s,PASSED
if (listInvoiceDate.size() != listDueDate.size()),Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.001s,PASSED
"for ([i = 0, i < listDueDate.size(), (i++)])",Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.100s,ERROR
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.001s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:50,1.190s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:49,0.002s,PASSED
"mouseOver(findTestObject(""Lemoney/Setup/Logout/img_profileImage""))",Chrome 74.0.3729.169,,2019-06-17 14:04:49,2019-06-17 14:04:50,0.102s,PASSED
"click(findTestObject(""Lemoney/Setup/Logout/Logout""))",Chrome 74.0.3729.169,,2019-06-17 14:04:50,2019-06-17 14:04:50,0.736s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-06-17 14:04:50,2019-06-17 14:04:50,0.189s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-17 14:04:50,2019-06-17 14:04:50,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-17 14:04:50,2019-06-17 14:04:50,0.002s,PASSED
