Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Invoices,Chrome 74.0.3729.169,,2019-06-14 12:15:36,2019-06-14 12:15:47,11.083s,ERROR
,,,,,,
Test Cases/Lemoney/Setup and TearDown/Setup,Chrome 74.0.3729.169,,2019-06-14 12:15:36,2019-06-14 12:15:44,7.330s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:37,2019-06-14 12:15:37,0.015s,PASSED
Start setup action : setUp,Chrome 74.0.3729.169,,2019-06-14 12:15:37,2019-06-14 12:15:44,7.086s,PASSED
"waitForElementPresent(findTestObject(""Lemoney/Setup/Logout/img_profileImage""), 10)",Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:44,0.175s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:44,0.006s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/DatabaseConnection,Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:45,1.160s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:44,0.007s,PASSED
"url = ""apiserver.cw1p29kfimzt.ap-south-1.rds.amazonaws.com""",Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:44,0.001s,PASSED
"dbname = ""apiserver""",Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:44,0.001s,PASSED
"port = ""5432""",Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:44,0.004s,PASSED
"userName = ""apiserver""",Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:44,0.001s,PASSED
"passWord = ""api-server-db-pwd""",Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:44,0.009s,PASSED
"com.database.DemoSQLPro.connectDB(url, dbname, port, userName, passWord)",Chrome 74.0.3729.169,,2019-06-14 12:15:44,2019-06-14 12:15:45,0.666s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:45,2019-06-14 12:15:45,0.004s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/Table_invoiceListing,Chrome 74.0.3729.169,,2019-06-14 12:15:45,2019-06-14 12:15:46,0.571s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:45,2019-06-14 12:15:45,0.004s,PASSED
"Invoice_nbr = ""INV_NBR_2""",Chrome 74.0.3729.169,,2019-06-14 12:15:45,2019-06-14 12:15:45,0.005s,PASSED
"queryString = select invoice_nbr,id,bill_to,invoice_sent_at,payment_due_date,total_cost from invoice where invoice_nbr='$Invoice_nbr'",Chrome 74.0.3729.169,,2019-06-14 12:15:45,2019-06-14 12:15:45,0.010s,PASSED
result = com.database.DemoSQLPro.executeQuery(queryString),Chrome 74.0.3729.169,,2019-06-14 12:15:45,2019-06-14 12:15:45,0.089s,PASSED
while (result.next()),Chrome 74.0.3729.169,,2019-06-14 12:15:45,2019-06-14 12:15:45,0.028s,PASSED
driver = getWebDriver(),Chrome 74.0.3729.169,,2019-06-14 12:15:45,2019-06-14 12:15:45,0.011s,PASSED
"RowDataPrecedingInvoice_nbr = driver.findElements(By.xpath(//td[2]/a/span[contains(text(),'$Invoice_nbr')]/preceding::td))",Chrome 74.0.3729.169,,2019-06-14 12:15:45,2019-06-14 12:15:46,0.049s,PASSED
println(RowDataPrecedingInvoice_nbr.get(0)),Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:46,0.016s,ERROR
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:46,0.005s,PASSED
,,,,,,
Test Cases/Lemoney/DataBase/CloseDBConnection,Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:46,0.216s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:46,0.005s,PASSED
com.database.DemoSQLPro.closeDatabaseConnection(),Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:46,0.009s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:46,0.004s,PASSED
,,,,,,
Test Cases/Lemoney/Setup and TearDown/TearDown,Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:47,1.143s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:46,0.006s,PASSED
"mouseOver(findTestObject(""Lemoney/Setup/Logout/img_profileImage""))",Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:46,0.104s,PASSED
"click(findTestObject(""Lemoney/Setup/Logout/Logout""))",Chrome 74.0.3729.169,,2019-06-14 12:15:46,2019-06-14 12:15:47,0.639s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,2019-06-14 12:15:47,2019-06-14 12:15:47,0.161s,PASSED
Start tear down : tearDown,Chrome 74.0.3729.169,,2019-06-14 12:15:47,2019-06-14 12:15:47,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,2019-06-14 12:15:47,2019-06-14 12:15:47,0.003s,PASSED
